Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2019-04-25,750.43,2,-7.39,-0.0098,757.64,757.64,750.43,946890229,4328694774584,257052034620312.0
2019-04-26,741.0,2,-9.43,-0.0126,748.3,750.23,739.84,865151764,3788915871174,254021602511795.0
2019-04-29,750.6,1,9.6,0.013,744.01,750.6,742.43,754662014,3228088303422,257339065385459.0
2019-04-30,754.74,1,4.14,0.0055,751.4,755.11,746.42,671042346,3769023253750,258788699292522.0
2019-05-02,760.38,1,5.64,0.0075,753.51,760.94,753.43,779401696,4247854989866,260784600617045.0
2019-05-03,761.82,1,1.44,0.0019,761.13,762.72,758.42,701320875,3753454939110,261291519790318.0
2019-05-07,753.45,2,-8.37,-0.011,751.26,757.97,749.27,728048409,3645775551244,258806780259188.0
2019-05-08,745.37,2,-8.08,-0.0107,745.86,751.55,745.36,922683490,4239485294749,256173387823944.0
2019-05-09,724.22,2,-21.15,-0.0283999999999999,746.96,747.96,722.6,992089008,4603640937913,248970984826653.0
2019-05-10,722.62,2,-1.6,-0.0022,726.06,729.84,712.15,916495571,4200841844187,248036568662459.0
2019-05-13,708.8,2,-13.82,-0.0191,722.19,724.78,708.77,916425309,4537676946296,243264156643002.0
2019-05-14,710.16,1,1.36,0.0019,698.86,714.8,698.3,1072271282,5055505136498,243734205724435.0
2019-05-15,729.6,1,19.44,0.0274,714.94,729.63,713.49,859428120,4941190904835,250301184628782.0
2019-05-16,717.59,2,-12.01,-0.0165,731.09,731.78,716.68,911753485,4878492699371,246284374547733.0
2019-05-17,714.13,2,-3.46,-0.0048,723.94,727.56,713.94,783634881,4587780339595,245328349591977.0
2019-05-20,702.08,2,-12.05,-0.0169,717.12,719.57,701.76,733169278,3770627782839,241215212711996.0
2019-05-21,703.98,1,1.9,0.0027,701.83,708.16,700.0,792043798,4390983735945,241890925833418.0
2019-05-22,706.93,1,2.95,0.0042,709.38,710.46,702.25,723703822,4221779360344,242883735391821.0
2019-05-23,696.89,2,-10.04,-0.0141999999999999,707.74,707.95,696.88,902830344,4643652388720,239395672890253.0
2019-05-24,690.03,2,-6.86,-0.0098,694.02,696.75,686.72,862120736,4387035886268,237063634707988.0
2019-05-27,689.67,2,-0.36,-0.0005,692.06,696.3,684.07,782619316,4313687221940,237021265674575.0
2019-05-28,702.76,1,13.09,0.019,691.55,702.76,690.78,723961541,4538620887701,241316089198946.0
2019-05-29,691.47,2,-11.29,-0.0161,699.12,699.53,689.9,849781747,4522970828689,234288964305568.0
2019-05-30,689.33,2,-2.14,-0.0031,692.6,696.45,685.31,669463495,3953387593616,233627782831492.0
2019-05-31,696.47,1,7.14,0.0104,688.7,699.4,687.71,642145318,3498742989670,236882568200022.0
2019-06-03,697.5,1,1.03,0.0015,693.26,698.35,691.8,643044614,3581778781114,237193624481924.0
2019-06-04,702.53,1,5.03,0.0072,699.12,702.53,697.2,657095617,3857151697919,238838422868794.0
2019-06-05,707.75,1,5.22,0.0074,709.07,710.11,706.76,616916072,4063890887693,240722090069871.0
2019-06-07,716.53,1,8.78,0.0124,711.77,716.56,708.73,723224035,4016297951303,243722653073456.0
2019-06-10,721.14,1,4.61,0.0064,721.12,721.5,717.08,763021333,4071222896085,245587311755135.0
2019-06-11,728.79,1,7.65,0.0106,723.61,728.79,722.51,897025715,4195981335360,248217444770902.0
2019-06-12,724.32,2,-4.47,-0.0060999999999999,729.06,729.06,721.91,724080554,3997840844032,247173659825164.0
2019-06-13,726.68,1,2.36,0.0033,724.57,730.86,721.87,839460636,4977454118166,247960685184053.0
2019-06-14,722.25,2,-4.43,-0.0060999999999999,729.39,729.39,721.44,843435161,4627883529044,246460311736197.0
2019-06-17,719.13,2,-3.12,-0.0043,723.52,723.9,718.62,757969775,3994985337530,245470963234586.0
2019-06-18,714.86,2,-4.27,-0.0059,721.25,723.79,713.17,1047010209,4899676116328,244174120067672.0
2019-06-19,717.71,1,2.85,0.004,721.66,722.66,714.98,979442675,4250538250725,245237583298782.0
2019-06-20,727.32,1,9.61,0.0134,719.54,727.34,719.31,1004460003,4056678934668,248571463662141.0
2019-06-21,722.64,2,-4.68,-0.0064,729.2,729.2,721.96,1100646594,4380845803931,246991457439294.0
2019-06-24,717.69,2,-4.95,-0.0068,725.04,725.05,717.22,923986488,3717770468558,245347008877130.0
2019-06-25,710.02,2,-7.67,-0.0107,719.03,720.06,707.64,1058007888,4875710544689,242887154127185.0
